n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
30,4x3,exp,RNK,0.01,4,0,0,0.0099
30,4x3,exp,ART,0.01,4,0,0,0.5311
30,4x3,exp,INT,0.01,4,0,0,0.0098
30,4x3,exp,PAR,0.05,8,0,0,0.0422
30,4x3,exp,RNK,0.05,8,0,0,0.0478
30,4x3,exp,ART,0.05,8,0,0,0.8843
30,4x3,exp,INT,0.05,8,0,0,0.0479
30,4x3,exp,PAR,0.01,8,0,0,0.0071
30,4x3,exp,RNK,0.01,8,0,0,0.0084
30,4x3,exp,ART,0.01,8,0,0,0.8113
30,4x3,exp,INT,0.01,8,0,0,0.0081
10,4x3,cauchy,PAR,0.05,0,0,0,0.0271
10,4x3,cauchy,RNK,0.05,0,0,0,0.0521
10,4x3,cauchy,ART,0.05,0,0,0,0.3692
10,4x3,cauchy,INT,0.05,0,0,0,0.0511
10,4x3,cauchy,PAR,0.01,0,0,0,0.0032
10,4x3,cauchy,RNK,0.01,0,0,0,0.0117
10,4x3,cauchy,ART,0.01,0,0,0,0.2809
10,4x3,cauchy,INT,0.01,0,0,0,0.0123
10,4x3,cauchy,PAR,0.05,0.5,0,0,0.0253
10,4x3,cauchy,RNK,0.05,0.5,0,0,0.0519
10,4x3,cauchy,ART,0.05,0.5,0,0,0.3795
10,4x3,cauchy,INT,0.05,0.5,0,0,0.0499
10,4x3,cauchy,PAR,0.01,0.5,0,0,0.0023
10,4x3,cauchy,RNK,0.01,0.5,0,0,0.0107
10,4x3,cauchy,ART,0.01,0.5,0,0,0.289
10,4x3,cauchy,INT,0.01,0.5,0,0,0.01
10,4x3,cauchy,PAR,0.05,1,0,0,0.0249
10,4x3,cauchy,RNK,0.05,1,0,0,0.0536
10,4x3,cauchy,ART,0.05,1,0,0,0.3677
10,4x3,cauchy,INT,0.05,1,0,0,0.0512
10,4x3,cauchy,PAR,0.01,1,0,0,0.0024
10,4x3,cauchy,RNK,0.01,1,0,0,0.0115
10,4x3,cauchy,ART,0.01,1,0,0,0.2815
10,4x3,cauchy,INT,0.01,1,0,0,0.0113
10,4x3,cauchy,PAR,0.05,2,0,0,0.0267
10,4x3,cauchy,RNK,0.05,2,0,0,0.053
10,4x3,cauchy,ART,0.05,2,0,0,0.3725
10,4x3,cauchy,INT,0.05,2,0,0,0.0539
10,4x3,cauchy,PAR,0.01,2,0,0,0.0023
10,4x3,cauchy,RNK,0.01,2,0,0,0.0121
10,4x3,cauchy,ART,0.01,2,0,0,0.2852
10,4x3,cauchy,INT,0.01,2,0,0,0.0115
10,4x3,cauchy,PAR,0.05,4,0,0,0.0255
10,4x3,cauchy,RNK,0.05,4,0,0,0.0479
10,4x3,cauchy,ART,0.05,4,0,0,0.367
10,4x3,cauchy,INT,0.05,4,0,0,0.0481
10,4x3,cauchy,PAR,0.01,4,0,0,0.0026
10,4x3,cauchy,RNK,0.01,4,0,0,0.0094
10,4x3,cauchy,ART,0.01,4,0,0,0.2795
10,4x3,cauchy,INT,0.01,4,0,0,0.0098
10,4x3,cauchy,PAR,0.05,8,0,0,0.0259
10,4x3,cauchy,RNK,0.05,8,0,0,0.052
10,4x3,cauchy,ART,0.05,8,0,0,0.38
10,4x3,cauchy,INT,0.05,8,0,0,0.051
10,4x3,cauchy,PAR,0.01,8,0,0,0.0021
10,4x3,cauchy,RNK,0.01,8,0,0,0.0101
10,4x3,cauchy,ART,0.01,8,0,0,0.2877
10,4x3,cauchy,INT,0.01,8,0,0,0.0093
